id_examinee;math;physics;chemistry;biology;history;geography;literature;civic_education;english;russian;french;chinese;german;japanese
1022533;7.60;;;;4.50;7;7.75;8;9.20;;;;;
1051027;7.40;;;;3.25;6.75;7.75;9.50;7.80;;;;;
2071485;7.20;5.25;6.50;5.25;;;3.50;;5.40;;;;;
2071486;6.80;;;;4.25;7;6;8.50;3;;;;;
2071488;7.80;5.25;8;6.75;;;7.25;;8.60;;;;;
2071489;6.20;;;;4.25;6.50;6.50;8.25;8.60;;;;;
2071490;7.80;5.50;5.25;4.75;;;6.25;;8.40;;;;;
2071491;6.80;;;;5;7.25;7.50;9;9;;;;;
2071492;7.80;7.25;7.75;5.50;;;6.75;;8.20;;;;;
2071493;8.40;5;6.25;5.25;;;6.50;;7.60;;;;;
2071494;8.20;;;;6;7.75;7.50;10;8.60;;;;;
2071495;8.40;7.25;4;4.75;;;7;;9.20;;;;;
2071496;6.40;;;;3.25;7;7.50;9.75;8.80;;;;;
2071498;5.80;;;;7.50;7;7;9.50;8.40;;;;;
2071499;4.60;;;;3.50;6.25;6;9.25;5.40;;;;;
2071500;7.20;5.75;5.25;4.75;;;6;;9.20;;;;;
2071501;6;;;;4.50;7.25;7.50;8.50;6.40;;;;;
2071502;7.40;4.25;7.50;6.25;;;5.75;;4.20;;;;;
2071506;7.40;;;;5.50;7;6.75;8.75;6.60;;;;;
2071507;6.60;;;;6;7.50;8;8.25;8.40;;;;;
2071510;7;4.75;4.75;6;;;5.25;;;;;;;
2071512;8;6;7.25;6.50;;;6.50;;9;;;;;
2071514;5.60;;;;7.25;7.25;6.50;9.50;9.40;;;;;
2071516;7.40;4.25;5.50;3.50;;;6.50;;8.20;;;;;
2071517;7.60;6.50;7;5.75;;;6;;8;;;;;
2071518;8.20;4;6.75;5.25;;;6.25;;7.60;;;;;
2071519;7.20;;;;4.50;6.75;5;8.75;3.20;;;;;
2071520;7;;;;7.25;8;6;9;4.80;;;;;
2071522;5.40;4.50;4;4.75;;;5.75;;;;;;;
2071523;8.20;6.75;8.50;;;;;;;;;;;
2071524;9;6.25;7.75;7.25;;;6.50;;8.60;;;;;
2071525;2.80;;;;5;6.25;7;7.75;5;;;;;
2071526;8;;7.75;6.75;;;;;;;;;;
2071527;7.40;4.50;5.50;;;;;;;;;;;
2083599;5.80;;;;6.25;7;8;9.50;5.40;;;;;
2083602;8;4.75;7.50;5.25;;;6.75;;6;;;;;
2083611;5.40;;;;6.50;6.50;7.25;9;8.40;;;;;
3002937;3.80;;;;6.75;8;6.50;;;;;;;
3003546;8.60;7.50;4.75;5.25;;;6.50;;8.40;;;;;
3003739;9;8.75;7.75;5;;;7.50;;4.40;;;;;
3003839;8.40;8;7.25;4;;;5.50;;5;;;;;
3003935;4;2;;;;;5;;3;;;;;
3004303;8.20;8;4;6.25;;;7.25;;4.80;;;;;
3004500;8.40;7.50;6.50;4.50;;;7.25;;6.20;;;;;
3004922;7.60;7.75;6.50;6;;;5.50;;5.40;;;;;
3004944;8;8.25;7.25;6.50;;;7.25;;6.60;;;;;
3005037;5.60;;;;7.75;7.50;5;;;;;;;
3019013;5.60;;;;4.25;7;7.25;8.25;5.60;;;;;
3019015;4.40;;;;3.25;6.75;4.25;7.50;7.80;;;;;
3019077;4.20;;;;3.50;7.25;8.50;7;5.20;;;;;
3019094;8.80;;;;5.75;8;9.25;9.50;8.40;;;;;
3019127;6.60;;;;8.75;8.25;7.25;8.75;6.60;;;;;
3019205;5.20;;;;3.50;6.75;6;8.75;5;;;;;
3019221;9.20;;;;9;8.25;9.25;9.25;9.80;;;;;
3019225;7.40;;;;4.50;7.75;7.75;9;6.40;;;;;
3019253;6.40;;;;5.50;7.25;6;6.25;6;;;;;
3019352;3.40;;;;3;6;3.25;7.50;2.40;;;;;
3019429;5.60;;;;5.25;6;7;9;5.60;;;;;
3019564;3.40;;;;3;5;4.25;;;;;;;
3019612;4.20;;;;3.25;6.50;4.50;;;;;;;
3019640;5;;;;2.25;4.25;5.50;6.75;4;;;;;
3019657;7.60;;;;7.25;7;6;;;;;;;
3019668;4.40;;;;3.50;7.25;5.25;;;;;;;
3019742;8;8.25;7.50;;;;;;;;;;;
3019780;6.20;;;;4.75;6.75;6.25;8.25;5;;;;;
3019794;6;;;;5;6.25;5.75;;;;;;;
3019801;3.40;;;;5.25;5.25;5.50;;;;;;;
3019817;7.80;;;;;;8.75;;;;;;;9
3019821;6;;;;6;7;5.75;;;;;;;
3019838;8.40;;;;3.75;7.25;6.75;;;;;;;
3019840;3.80;;;;4.50;4.75;2.25;;;;;;;
3019842;6.80;;;;3.25;5.50;5;;;;;;;
3019855;3.60;;;;3;6;4.50;;;;;;;
3019857;3.60;;;;2;2;3.50;;;;;;;
3019860;4.80;;;;3;6;5.50;;;;;;;
3019864;6;;;;2.75;4.50;4;;;;;;;
3019867;7.80;6.25;;;;;7.50;;;;;;;
3019879;4;;;;2.50;6;3.25;;;;;;;
3019884;6.80;;;;4.50;6.75;3.75;;;;;;;
3019887;5.20;;;;3;6.50;7;;;;;;;
3019889;4.20;;;;4;6.75;4.50;;;;;;;
3019907;3.80;;;;1.75;4.75;2.75;;;;;;;
3019922;9.20;8.50;8.25;;;;;;;;;;;
3019930;4.60;;;;3.25;7.25;3.50;;;;;;;
3019932;4.40;;;;2.75;5.50;4;;;;;;;
3019955;4.20;;;;4.50;5.25;4;;;;;;;
3019966;5.20;;;;5.75;7.25;6;;;;;;;
3020070;6;;;;4.50;6.50;4;8.25;6.40;;;;;
3020093;4.60;;;;3.25;5.75;7.50;8.50;5.60;;;;;
3020136;5;;;;2.75;5.25;7.25;8.25;4;;;;;
3020191;9.80;9;9;9;;;7.25;;9;;;;;
3020206;6.40;;;;3.50;5.50;7;9.50;5;;;;;
3020208;8.20;5.25;7;6.75;;;6.50;;5;;;;;
3020289;3.20;;;;4.75;5.75;5.50;7.25;3.20;;;;;
3020311;4.20;;;;1.50;4.75;4.75;8.50;3.80;;;;;
3020348;4.40;;;;2.25;5;6;7;5.40;;;;;
3020391;6.80;;;;3;6.25;5.50;9.25;6.60;;;;;
3020395;8.40;6.75;6.25;5.25;;;5.75;;3;;;;;
3020402;7;;;;6;6.50;7.25;8.25;3.60;;;;;
3020403;7;7.25;6.25;2.75;;;7.50;;;;;;;
3020410;8.40;8.75;5;4;;;7.25;;4.60;;;;;
3020416;8.40;7.75;5;4.50;;;7.50;;4.20;;;;;
3020417;6.60;;;;3.25;5.50;8.25;9;4.60;;;;;
3020418;7.80;7.25;4;4.25;;;8.50;;5.40;;;;;
3020425;7.80;;;;6;7.50;9.25;9.25;8.20;;;;;
3020429;8;6.25;7;7.75;;;8.25;;7;;;;;
3020432;5.80;;;;3;5.50;7;8.50;5.60;;;;;
3020433;8.40;8;6.25;6.50;;;7.75;;8.20;;;;;
3020437;7.80;;;;4.50;7;9.25;8;6.40;;;;;
3020453;7.40;;;;6.75;8;8;9.25;8;;;;;
3020464;7;7.75;6.50;4.25;;;7.50;;3.40;;;;;
3020465;8.60;6.75;6.50;5.50;;;7.75;;4.80;;;;;
3020469;7.60;;;;9.50;8.25;8.75;9.75;6.80;;;;;
3020471;2.80;;;;3;6;6;7;2.60;;;;;
3020474;7.60;8.25;5.25;5.25;;;8.50;;7.20;;;;;
3020475;9.20;7.75;4.50;4.75;;;8.50;;8.80;;;;;
3020477;7.40;7.25;6.25;5.50;;;8.25;;6;;;;;
3020478;8.40;;;;8;8.75;9;9;6.80;;;;;
3020479;6.60;;;;4.75;8.25;8.50;9;3.80;;;;;
3020480;6.60;;;;7.25;7.50;8.25;9.75;5.20;;;;;
3020482;8;6.25;6;6.75;;;9;;7.20;;;;;
3020486;8.40;8.25;6.25;6;;;8.50;;9.40;;;;;
3020487;6;5.25;6.50;5.25;;;6.25;;5.40;;;;;
3020489;7.80;6.50;6.25;4.75;;;8.75;;8;;;;;
3020497;7.40;7;6.25;5.25;;;7;;4.80;;;;;
3020501;6.40;5.25;6;3.50;;;5.25;;4.60;;;;;
3020503;7.80;6.75;6.75;4.75;;;6.25;;5.20;;;;;
3020505;7.40;;;;5.50;7.50;6.25;9;6.60;;;;;
3020507;6;;;;5.75;7;6.50;9;5.80;;;;;
3020514;6.60;;;;4.75;7.50;7.25;9.25;6;;;;;
3020516;9.60;8.25;6.50;4.25;;;8;;9.80;;;;;
3020518;8.60;8.25;9;4.75;;;7.50;;8;;;;;
3020521;7.80;;;;7.75;8;8.50;9.75;7;;;;;
3020527;7.80;;;;6.25;7.50;7.50;10;4.80;;;;;
3020529;8;;;;5;8;7;7.75;7.20;;;;;
3020532;9.80;7.75;7.75;4.50;;;8.25;;9;;;;;
3020533;9;7.25;7.50;5.50;;;6.75;;6.40;;;;;
3020534;9.20;8.25;8;5;;;6.75;;5.40;;;;;
3020535;7.60;7.25;6.50;5.50;;;6.25;;6;;;;;
3020539;5.60;;;;6.75;8.50;5.75;9;5.20;;;;;
3020545;7.20;;;;3.75;7.75;7.25;9.50;4.40;;;;;
3020548;8.80;7.25;7;4.50;;;7.50;;5.60;;;;;
3020550;8.40;;;;4.50;7.50;7.25;7.50;5.60;;;;;
3020556;7.60;;;;4.50;7.25;6.50;8.75;4.60;;;;;
3020561;9.20;8;7.50;4;;;7.25;;5.20;;;;;
3020569;8.60;8.25;7.25;6.25;;;7.75;;4.80;;;;;
3020571;7.80;8.50;6.25;4.75;;;7.25;;4.20;;;;;
3020572;8.40;7.50;7;5.50;;;7.50;;7;;;;;
3020577;9.40;8.75;6.25;5.50;;;6.25;;9.40;;;;;
3020578;6.40;;;;5.25;5.75;5.25;6.25;3.60;;;;;
3020582;8.60;8.75;8.25;5.75;;;6.50;;4.40;;;;;
3020595;8.20;8.25;7.25;3.75;;;7;;6;;;;;
3020596;8.60;;;;6;7.75;8.25;9;6.40;;;;;
3020597;7.40;;;;4;5.50;8.50;8;5.60;;;;;
3020605;8.60;8;7;6;;;8.50;;7.40;;;;;
3020607;7.40;;;;5;7;8.50;9.25;4.60;;;;;
3020610;9.40;8.75;9;6.50;;;7.75;;8.80;;;;;
3020611;7.60;;;;6.25;7.75;8.50;9.75;5.40;;;;;
3020614;8.40;8.25;7.25;6;;;8;;9.60;;;;;
3020615;8;7.75;5.50;6.25;;;8.75;;7.40;;;;;
3020616;5.40;;;;5.50;7.25;8.75;8.75;5.20;;;;;
3020624;7.40;;;;9;8.25;8.25;9.25;7.80;;;;;
3020626;6;;;;6;6.75;8.25;9;3.60;;;;;
3020632;8.20;8.50;7.25;6.75;;;8.25;;4.80;;;;;
3020636;9;7;5;3.25;;;7.50;;3.60;;;;;
3020641;8.20;6.50;6.75;4.25;;;7.75;;3.20;;;;;
3020642;9.40;8.25;7.25;7.25;;;8;;9.20;;;;;
3020647;8.20;8;6;6;;;7.75;;5.40;;;;;
3020652;9.60;9;7.50;3.50;;;6;;5.60;;;;;
3020662;9;8;7;7.25;;;8.50;;7;;;;;
3020667;9.20;7.25;7.50;5.25;;;6.50;;4.20;;;;;
3020682;5.80;;;;5.25;6.50;6.50;9;5.40;;;;;
3020685;9.20;8.25;8.25;8;;;8.50;;6.40;;;;;
3020693;7.80;;;;4.75;8.25;9;8.75;7;;;;;
3020695;8.60;7.50;6.50;7;;;8.75;;9.40;;;;;
3020696;8.40;6.75;4.25;3;;;8;;7.80;;;;;
3020699;7.20;;;;8.75;8;8;9.25;7.80;;;;;
3020701;7.80;;;;6.25;6.50;8.75;8.75;5.60;;;;;
3020705;3.60;4.25;3.50;4.50;;;6.50;;2.80;;;;;
3020707;9.20;8.75;5.75;5.25;;;8;;9.40;;;;;
3020708;8;6.25;5.75;4.50;;;8;;7.80;;;;;
3020714;8.40;;;;7.75;9;8.75;9.25;8.60;;;;;
3020716;6.80;8.25;4.25;4.25;;;7.50;;5.40;;;;;
3020718;7.80;;;;4.75;6.75;8;9.50;9.20;;;;;
3020722;8.40;8.25;6;6.25;;;6;;8.80;;;;;
3020723;8.20;5.75;6;5.50;;;9;;8.80;;;;;
3020725;8;;;;8.50;7.50;7.50;9;7.20;;;;;
3020729;7.40;7.25;3.25;4;;;7.50;;4.40;;;;;
3020730;8;6.25;6.25;5;;;6;;3.40;;;;;
3020731;7.80;6.50;5.75;6.75;;;8;;6.20;;;;;
3020736;6;;;;4.25;6;7;8.25;4;;;;;
3020737;8.40;8;8.25;6;;;6.75;;7.40;;;;;
3020740;7.60;;;;8.75;8;7.50;9.25;5.80;;;;;
3020747;8;6.50;6.75;6;;;6.75;;4.80;;;;;
3020749;8.20;;;;8.25;7.75;9.25;9.50;9;;;;;
3020752;6.80;;;;3;6.25;8;6.25;4.80;;;;;
3020754;8.60;9;7.50;6.25;;;7.75;;4.80;;;;;
3020763;8;5.50;4.50;3.25;;;7;;3.80;;;;;
3020768;8.20;8;7.75;5;;;8;;6;;;;;
3020774;8.80;8;6.50;6.25;;;7.50;;4;;;;;
3020780;8.40;7.50;6.25;4.50;;;7.25;;5;;;;;
3020795;7.60;;;;6.75;8.50;8.25;10;6;;;;;
3020801;8.20;6.75;6.25;5.75;;;7.25;;5.80;;;;;
3020802;6.60;;;;3.25;6.75;5.50;8.50;2.40;;;;;
3020804;7.60;;;;8.25;7.50;7;10;6.20;;;;;
3020805;8.20;8.25;7.25;6;;;7.25;;5.20;;;;;
3020811;6.60;5.50;6.50;5;;;5.50;;5.40;;;;;
3020819;9;7.25;6.50;5.75;;;9.50;;9;;;;;
3020821;8.20;;;;7.75;7;8;8.25;7.40;;;;;
3020823;8.60;7.50;7.75;5.25;;;7.50;;6.60;;;;;
3020829;5.20;;;;5;6.50;8.25;8;5.80;;;;;
3020831;7.40;;;;7.25;6.50;6.50;9.25;3.80;;;;;
3020836;7.60;;;;5.25;9;8;8.25;7;;;;;
3020837;7.40;;;;6.50;8.50;8.50;8.75;7.20;;;;;
3020846;5.60;;;;4.25;7;6.50;8.50;3;;;;;
3020854;7.20;;;;2.50;7.75;6;9;2.80;;;;;
3020858;8.20;7.50;6;6;;;7.75;;5.80;;;;;
3020859;9.20;8.25;4.75;4.25;;;8.75;;9;;;;;
3020860;8.80;6.75;7.50;6.75;;;8.25;;6.60;;;;;
3020861;4.80;;;;3.50;6.25;6.25;8.25;6.40;;;;;
3020864;6.80;;;;4.75;6.50;8.25;9.50;6.60;;;;;
3020869;8.40;8.25;6.75;3.50;;;7.25;;4.40;;;;;
3020870;6.80;;;;3.50;7;8;8.25;5.60;;;;;
3020873;7.40;;;;7.75;7.75;7.25;9.75;6.20;;;;;
3020880;7.80;;;;6.75;7.50;7;8.50;6;;;;;
3020881;9;8.75;7.50;5;;;6.75;;5.40;;;;;
3020882;7;;;;7.75;8;7.75;9.50;3.40;;;;;
3020887;7;4.25;3.75;5.50;;;7.50;;7.20;;;;;
3020888;8.80;5.25;5;4.50;;;8.75;;9.60;;;;;
3020892;7;;;;5;7.25;7.25;8.75;6.40;;;;;
3020896;7.80;7.25;6.25;5;;;6.25;;3;;;;;
3020899;7.80;6.75;4.75;5;;;8.25;;9.80;;;;;
3020901;5.40;;;;5.25;7;8.75;9.50;4;;;;;
3020906;7.40;5.50;7.25;5.75;;;6.25;;5.40;;;;;
3020929;8;;;;7.50;8;8;9.25;6.60;;;;;
3020930;6.60;;;;4.25;7.50;6.50;8.50;4.20;;;;;
3020944;6.80;;;;4.75;6;6.25;8.50;6;;;;;
3020959;8.80;8.25;7.75;5.50;;;6.75;;5.40;;;;;
3020967;9.40;8.75;7.75;5.50;;;8.25;;6.40;;;;;
3020969;8.60;8.25;7.75;6;;;7.50;;4.20;;;;;
3020970;8;;;;5.75;7.75;8;9.25;5;;;;;
3020971;6.60;;;;5;7.50;6.75;9;4.60;;;;;
3020977;8.20;7;5.25;6.75;;;8.25;;6.20;;;;;
3020978;6.60;;;;4.25;6.75;7.25;8.50;5;;;;;
3020987;8.80;5.25;6;6.50;;;8;;9.60;;;;;
3020992;5.40;;;;4.50;7.25;6;9;4;;;;;
3021004;8;;;;9.25;9;8;10;;;;9.40;;
3021022;9;7.50;7.25;7;;;8.50;;9.80;;;;;
3021023;8.20;5.50;6.75;5;;;7;;8.20;;;;;
3021028;7.60;;;;7.50;8;8.75;9.25;7.80;;;;;
